序号,成员变量名,数据类型,注释,
,Sys.ErrorQueue.aEntries[5],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[5].iLevel,INT,,
,Sys.ErrorQueue.aEntries[5].iCode,INT,,
,Sys.ErrorQueue.aEntries[5].iSource,INT,,
,Sys.ErrorQueue.aEntries[5].iVal1,INT,,
,Sys.ErrorQueue.aEntries[5].diTimestamp,DINT,,
,Sys.ErrorQueue.aEntries[6],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[6].iLevel,INT,,
,Sys.ErrorQueue.aEntries[6].iCode,INT,,
,Sys.ErrorQueue.aEntries[6].iSource,INT,,
,Sys.ErrorQueue.aEntries[6].iVal1,INT,,
,Sys.ErrorQueue.aEntries[6].diTimestamp,DINT,,
,Sys.ErrorQueue.aEntries[7],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[7].iLevel,INT,,
,Sys.ErrorQueue.aEntries[7].iCode,INT,,
,Sys.ErrorQueue.aEntries[7].iSource,INT,,
,Sys.ErrorQueue.aEntries[7].iVal1,INT,,
,Sys.ErrorQueue.aEntries[7].diTimestamp,DINT,,
,Sys.ErrorQueue.aEntries[8],Stru_ErrorEntry,,
,Sys.ErrorQueue.aEntries[8].iLevel,INT,,
,Sys.ErrorQueue.aEntries[8].iCode,INT,,
,Sys.ErrorQueue.aEntries[8].iSource,INT,,
,Sys.ErrorQueue.aEntries[8].iVal1,INT,,
,Sys.ErrorQueue.aEntries[8].diTimestamp,DINT,,
,Sys.ErrorQueue.iHead,INT,,
,Sys.ErrorQueue.iTail,INT,,
,Sys.ErrorQueue.iCount,INT,,
,Sys.ErrorQueue.bOverflow,BOOL,,
,Sys.ErrorQueue.bPad0,BOOL,,
,Sys.Runtime,Stru_HMI_SysRuntime,,
,Sys.Runtime.diAgingCycleCount,DINT,,
,Sys.Runtime.diTotalCycles,DINT,,
,Sys.Runtime.diRunTime,DINT,,
,Sys.Runtime.diReserved,DINT,,
,Sys.Runtime.iCurrentStep,INT,,
,Sys.Runtime.iActCycles,INT,,
,Sys.Runtime.bBatchDone,BOOL,,
,Sys.Runtime.pad,BOOL,,
,Sys.Error,Stru_HMI_SysError,,
,Sys.Error.iLevel,INT,,
,Sys.Error.iCode,INT,,
,Sys.Error.iSource,INT,,
,Sys.Error.iSubCode,INT,,
,Sys.Error.iVal1,INT,,
,Sys.Error.iVal2,INT,,
,Sys.Error.bActive,BOOL,,
,Sys.Error.bCritical,BOOL,,
,Sys.Error.bEscalated,BOOL,,
,Sys.Error.bNeedReset,BOOL,,
,Sys.Error.pad0,BOOL,,
,Sys.Error.pad1,BOOL,,
,Sys.Error.pad2,BOOL,,
,Sys.Error.pad3,BOOL,,
,Sys.Warning,Stru_HMI_SysWarning,,
,Sys.Warning.iCode,INT,,
,Sys.Warning.iSource,INT,,
